Data;21086 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Total - %;21088 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Desconto de cheques - %;21090 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo de até 365 dias - %;21091 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias - %;21092 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro rotativo - %;21093 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro total - %;21094 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Conta garantida - %;21095 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Cheque especial - %;21106 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito total - %;21111 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Outros créditos livres - %
03/2021;1,64 ;1,65 ;0,85 ;2,13 ;2,08 ;1,95 ;1,43 ;14,04 ;4,91 ;5,70
04/2021;1,69 ;1,51 ;0,99 ;2,32 ;3,59 ;2,21 ;1,36 ;12,87 ;4,16 ;5,57
05/2021;1,72 ;1,32 ;1,02 ;2,36 ;4,40 ;2,29 ;1,29 ;11,51 ;3,99 ;5,43
06/2021;1,62 ;1,17 ;0,98 ;2,17 ;4,51 ;2,15 ;1,19 ;10,96 ;3,78 ;5,09
07/2021;1,64 ;1,25 ;1,06 ;2,22 ;4,94 ;2,21 ;1,20 ;11,18 ;3,56 ;4,83
08/2021;1,63 ;1,29 ;1,06 ;2,17 ;5,32 ;2,19 ;1,24 ;12,06 ;3,60 ;4,69
09/2021;1,59 ;1,26 ;1,13 ;2,15 ;5,40 ;2,18 ;1,24 ;11,63 ;3,87 ;4,50
10/2021;1,59 ;1,30 ;1,11 ;2,21 ;5,58 ;2,24 ;1,49 ;10,86 ;3,88 ;4,29
11/2021;1,64 ;1,36 ;1,15 ;2,28 ;5,66 ;2,30 ;1,41 ;10,59 ;3,84 ;4,56
12/2021;1,54 ;1,31 ;1,23 ;2,25 ;5,76 ;2,30 ;1,46 ;11,54 ;3,76 ;4,00
01/2022;1,59 ;1,29 ;1,20 ;2,26 ;5,03 ;2,27 ;1,24 ;10,18 ;4,20 ;4,02
02/2022;1,51 ;1,26 ;1,07 ;2,17 ;4,69 ;2,16 ;1,18 ;10,05 ;4,03 ;3,67
03/2022;1,67 ;1,43 ;1,22 ;2,24 ;4,78 ;2,24 ;1,28 ;11,26 ;3,92 ;3,89
04/2022;1,68 ;1,49 ;1,39 ;2,27 ;4,98 ;2,29 ;1,34 ;11,20 ;4,32 ;3,98
05/2022;1,69 ;1,69 ;1,46 ;2,36 ;5,13 ;2,38 ;1,44 ;12,70 ;4,09 ;3,04
06/2022;1,65 ;1,95 ;1,56 ;2,21 ;5,25 ;2,27 ;1,56 ;12,97 ;3,89 ;3,13
07/2022;1,75 ;2,10 ;1,76 ;2,36 ;5,71 ;2,43 ;1,68 ;13,87 ;4,50 ;3,17
08/2022;1,81 ;2,45 ;1,81 ;2,45 ;6,03 ;2,53 ;1,87 ;15,70 ;4,24 ;3,24
09/2022;1,87 ;2,53 ;1,91 ;2,55 ;6,26 ;2,63 ;1,99 ;15,78 ;4,09 ;3,41
10/2022;2,03 ;2,64 ;1,89 ;2,82 ;6,99 ;2,88 ;2,04 ;15,52 ;5,25 ;3,63
11/2022;2,07 ;2,82 ;1,96 ;3,00 ;6,51 ;3,03 ;2,20 ;15,27 ;5,66 ;3,64
12/2022;2,04 ;2,84 ;2,06 ;3,05 ;6,96 ;3,11 ;2,32 ;16,83 ;4,69 ;3,60
01/2023;2,22 ;3,02 ;2,12 ;3,35 ;6,60 ;3,36 ;2,55 ;15,58 ;5,59 ;3,84
02/2023;2,29 ;2,84 ;1,94 ;3,57 ;6,80 ;3,55 ;2,38 ;13,64 ;5,94 ;4,01
03/2023;2,37 ;2,95 ;2,04 ;3,70 ;6,44 ;3,67 ;2,65 ;15,11 ;5,47 ;4,19
04/2023;2,71 ;3,02 ;2,25 ;3,95 ;6,80 ;3,91 ;2,75 ;14,17 ;7,33 ;4,80
05/2023;2,92 ;3,23 ;4,00 ;4,31 ;6,66 ;4,36 ;2,75 ;15,79 ;7,27 ;5,05
06/2023;2,98 ;3,27 ;5,05 ;4,38 ;6,24 ;4,48 ;2,76 ;15,11 ;6,97 ;4,94
07/2023;3,16 ;3,41 ;4,92 ;4,54 ;6,03 ;4,61 ;2,92 ;15,45 ;7,75 ;5,10
08/2023;3,33 ;3,46 ;4,83 ;4,68 ;5,84 ;4,73 ;3,27 ;16,21 ;7,01 ;5,19
09/2023;3,35 ;3,44 ;4,22 ;5,00 ;5,55 ;4,95 ;3,13 ;15,51 ;6,76 ;5,06
10/2023;3,49 ;3,49 ;3,85 ;4,99 ;5,31 ;4,91 ;3,32 ;16,22 ;7,02 ;5,41
11/2023;3,56 ;3,32 ;3,51 ;4,95 ;4,78 ;4,82 ;3,21 ;20,22 ;6,48 ;5,56
12/2023;3,13 ;3,14 ;2,81 ;4,84 ;4,64 ;4,64 ;3,29 ;17,19 ;6,81 ;5,03
01/2024;3,32 ;3,08 ;1,90 ;4,81 ;4,51 ;4,54 ;3,22 ;20,74 ;7,05 ;5,29
02/2024;3,32 ;3,00 ;1,99 ;4,87 ;4,08 ;4,60 ;2,66 ;15,30 ;7,03 ;5,34
03/2024;3,20 ;2,78 ;2,01 ;4,76 ;4,10 ;4,49 ;2,60 ;15,58 ;5,84 ;5,95
04/2024;3,27 ;2,85 ;1,93 ;4,85 ;4,08 ;4,55 ;2,54 ;15,46 ;6,54 ;6,44
